Deal Type,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
M&A,4/4/2011,EPIC US,Epicor Software Corp/Old,6212Z LN,936.03,Cash,Completed,5/17/2011,12.5000/sh.,Technology
M&A,12/8/2011,KAH LN,Kalahari Minerals Ltd,,935.25,Cash,Completed,4/4/2012,2.4355/sh.,Basic Materials
M&A,5/23/2013,RUE US,rue21 inc,6212Z LN,934.34,Cash,Completed,10/11/2013,42.0000/sh.,"Consumer, Cyclical"
M&A,8/1/2016,MAU FP,Etablissements Maurel et Prom,PERT IJ,931.68,Cash,Completed,2/9/2017,4.2000/sh.,Energy
M&A,7/25/2011,HSN LN,ZF Wind Power Antwerpen NV,1003Z GR,930.04,Cash,Completed,11/16/2011,.6600/sh.,Industrial
M&A,3/16/2014,GA US,Giant Interactive Group Inc,,928.1,Cash,Completed,7/21/2014,12.0000/sh.,Communications
M&A,9/26/2016,SAI AU,SAI Global Ltd,BPEALZ HK,927.19,Cash,Completed,12/29/2016,4.7500/sh.,Communications
M&A,3/16/2016,RSTI US,Rofin-Sinar Technologies Inc,COHR US,926.49,Cash,Completed,11/8/2016,32.5000/sh.,Industrial
M&A,3/12/2012,TUDO US,Tudou Holdings Ltd,YOKU US,925.12,Stock,Completed,8/24/2012,N/A,Communications
M&A,6/8/2010,UUU CN,Uranium One Inc,2731593Z RU,922.48,Cash,Completed,12/27/2010,610.0000 Mln,Basic Materials
M&A,2/26/2010,CKR US,CKE Restaurants Inc,6612Z US,921.74,Cash,Terminated,4/24/2010,11.0500/sh.,"Consumer, Cyclical"
M&A,9/30/2011,8574 JP,SMBC Consumer Finance Co Ltd,8316 JP,920.36,Cash,Completed,11/30/2011,780.0000/sh.,Financial
M&A,8/27/2012,TPCG US,TPC Group Inc,,918.68,Cash,Completed,12/21/2012,45.0000/sh.,Basic Materials
M&A,11/21/2012,PRON NO,Pronova BioPharma ASA,BAS GR,918.01,Cash,Completed,2/21/2013,13.5000/sh.,"Consumer, Non-cyclical"
M&A,8/6/2015,1477687D US,Merge Healthcare Inc,IBM US,917.98,Cash,Completed,10/14/2015,7.1300/sh.,Technology
M&A,4/5/2013,COP NO,Copeinca ASA,CEQ NO,916.59,Cash,Terminated,5/23/2013,59.7000/sh.,"Consumer, Non-cyclical"
M&A,10/9/2014,EXACT NA,Exact Holding BV,6212Z LN,914.86,Cash,Completed,3/31/2015,32.0000/sh.,Technology
M&A,3/7/2017,NMBL US,Nimble Storage Inc,HPE US,913.01,Cash,Completed,4/17/2017,12.5000/sh.,Technology
M&A,10/29/2012,1384851D US,OPNET Technologies Inc,RVBD US,912.34,Cash and Stock,Completed,12/19/2012,36.5500/sh.,Technology
M&A,9/27/2012,ZZ US,Sealy Corp,TPX US,909.51,Cash,Completed,3/18/2013,2.2000/sh.,"Consumer, Cyclical"
M&A,1/21/2011,NFDS LN,Northern Foods Ltd,3595032Z LN,908.74,Cash,Completed,5/13/2011,.7300/sh.,"Consumer, Non-cyclical"
M&A,12/8/2017,MLC LN,Millennium & Copthorne Hotels PLC,CIT SP,908.45,Cash,Pending, ,6.0000/sh.,"Consumer, Cyclical"
M&A,9/22/2014,VIAS US,Viasystems Group Inc,TTMI US,905.75,Cash and Stock,Completed,6/2/2015,11.3300/sh.,Industrial
M&A,8/13/2012,CMVT US,Comverse Technology Inc,VRNT US,905.02,Stock,Completed,2/5/2013,N/A,Communications
M&A,7/20/2010,LGF/A US,Lions Gate Entertainment Corp,IEP US,904.03,Cash,Terminated,12/13/2010,7.5000/sh.,"Consumer, Cyclical"
M&A,8/10/2015,RNF US,CVR Nitrogen LP,UAN US,902.9,Cash and Stock,Completed,4/1/2016,2.5700/sh.,Basic Materials
M&A,8/23/2011,AENV SP,Asia Environment Holdings Pte Ltd,55301Z SP,901.91,Cash or Stock,Completed,11/22/2011,.3000/sh.,Industrial
