Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag4,t+1 - t,t - t-1,t+1 - t-1,Action ID,Target Ticker,Payment Type,Target Industry Sector,Cash Terms,Return Used,Spread,t+1 - t Price,t+1 - t Spread,t - t-1 Price,t - t-1 Spread,Delta Spread,Delta Spread percentage
2010:Q3,11/2/2010,16:01,0.3371,0.5,0.485,2010-11-02,0.015,0.0309278350515,30.5,-0.29517874713,0.0983606557377,0.262984878369,0.361604207758,49262731,SVR US,Cash,Communications,31.0,0.0983606557377,0.016393442623,30.53,0.0153946937439,30.42,0.0190664036818,-0.000998748879092,-0.0609236816246
2013:Q1,5/13/2013,17:00,0.0193,0.0048,0.14,2013-05-13,-0.1352,-0.965714285714,13.6,-0.293255131965,0.0735294117647,-0.293255131965,-0.219941348974,69190425,SVN US,Cash,"Consumer, Cyclical",13.8,0.0735294117647,0.0147058823529,13.61,0.0139603232917,13.64,0.0117302052786,-0.000745559061244,-0.0506980161646
2012:Q4,3/11/2013,17:00,0.1232,0.0192,0.18,2013-03-11,-0.1608,-0.893333333333,13.39,-0.298730395818,-0.224047796863,0.0,-0.224047796863,69190425,SVN US,Cash,"Consumer, Cyclical",13.8,-0.224047796863,0.0306198655713,13.36,0.0329341317365,13.39,0.0306198655713,0.00231426616521,0.0755805462246
2012:Q3,11/7/2012,17:00,0.2031,0.011,0.205,2012-11-07,-0.194,-0.946341463415,11.95,0.420875420875,-1.17154811715,-0.416666666667,-1.58333333333,69190425,SVN US,Cash,"Consumer, Cyclical",13.8,-1.17154811715,0.154811715481,11.81,0.16850127011,12.0,0.15,0.0136895546289,0.0884271231435
2011:Q1,4/29/2011,7:00,0.4555,0.46,0.57,2011-04-29,-0.11,-0.19298245614,26.49,0.0377643504532,-0.0377500943752,0.0,-0.0377500943752,49328961,SUR US,Cash,Financial,26.55,0.0,0.00226500566251,26.48,0.00264350453172,26.49,0.00226500566251,0.0,0.0
2010:Q4,2/4/2011,7:00,1.2098,1.21,0.57,2011-02-04,0.64,1.12280701754,25.08,4.52845866224,0.279106858054,3.76499793132,4.05461315681,49328961,SUR US,Cash,Financial,26.55,3.76499793132,0.0586124401914,25.15,0.0556660039761,24.17,0.0984691766653,-0.0398567364739,-0.404763580073
2016:Q3,10/27/2016,16:05,0.3537,0.3567,0.515,2016-10-27,-0.1583,-0.307378640777,31.0,0.639795265515,0.645161290323,-0.83173384517,-0.191938579655,96554094,STRZA US,Cash,Communications,18.0,0.645161290323,-0.41935483871,31.2,-0.423076923077,31.26,-0.424184261036,-0.00372208436725,0.00887573964497
2016:Q2,7/28/2016,16:05,0.6018,0.6058,0.544,2016-07-28,0.0618,0.113602941176,29.96,-0.0330469266358,0.901201602136,-1.31752305665,-0.428194993412,96554094,STRZA US,Cash,Communications,18.0,0.901201602136,-0.399198931909,30.23,-0.404565001654,30.36,-0.407114624506,-0.00536606974477,0.0134420944443
2016:Q2,8/3/2016,16:55,0.2011,0.2,0.222,2016-08-03,-0.022,-0.0990990990991,25.19,0.397772474145,0.0396982929734,-0.198098256735,-0.158478605388,119822811,STR US,Cash,Utilities,25.0,0.0396982929734,-0.00754267566495,25.2,-0.00793650793651,25.24,-0.0095087163233,-0.000393832271561,0.0522138680033
2016:Q1,4/27/2016,17:00,0.4643,0.4993,0.505,2016-04-27,-0.0057,-0.0112871287129,25.11,0.0798403193613,-0.119474313023,0.399840063974,0.279888044782,119822811,STR US,Cash,Utilities,25.0,-0.119474313023,-0.00438072481083,25.08,-0.00318979266348,25.01,-0.000399840063974,0.00119093214736,-0.271857329274
2015:Q4,2/17/2016,17:39,0.3928,0.3966,0.393,2016-02-17,0.0036,0.00916030534351,24.94,0.120336943442,0.120288692863,-0.0400801603206,0.0801603206413,119822811,STR US,Cash,Utilities,25.0,0.120288692863,0.00240577385726,24.97,0.00120144173008,24.95,0.00200400801603,-0.00120433212718,-0.500600720865
2015:Q3,10/28/2015,16:15,0.9523,0.94,0.978,2015-10-28,-0.038,-0.038854805726,63.81,-0.596171948541,-0.564174894217,-0.187705302675,-0.750821210699,111438301,STNR US,Cash,"Consumer, Cyclical",65.0,-0.564174894217,0.0186491145588,63.45,0.0244286840032,63.93,0.0167370561552,0.00577956944431,0.309911198522
2013:Q3,9/9/2013,6:42,0.0418,0.09,0.123,2013-09-09,-0.033,-0.268292682927,13.11,0.0,0.266971777269,0.0763358778626,0.343511450382,77500188,STEI US,Cash,"Consumer, Non-cyclical",13.25,0.0763358778626,0.0106788710908,13.145,0.00798782807151,13.1,0.0114503816794,-0.000771510588619,-0.067378591406
2013:Q2,6/10/2013,16:17,0.0675,0.15,0.135,2013-06-10,0.015,0.111111111111,13.05,0.153491941673,-0.0766283524904,0.0,-0.0766283524904,77500188,STEI US,Cash,"Consumer, Non-cyclical",13.25,-0.0766283524904,0.0153256704981,13.04,0.0161042944785,13.05,0.0153256704981,0.000778623980443,0.0508052147239
2017:Q2,11/10/2016,Bef-mkt,0.0613,0.0614,0.064,2016-11-10,-0.0026,-0.040625,3.84,-5.15463917526,-1.82291666667,-0.518134715026,-2.33160621762,130592066,ST SP,Cash,Communications,4.16,-0.518134715026,0.0833333333333,3.77,0.103448275862,3.86,0.0777202072539,0.00561312607945,0.0722222222222
2017:Q3,11/8/2017,16:15,-0.4696,0.1174,0.008,2017-11-08,0.1094,13.675,16.1,-0.0619962802232,0.186335403727,-0.0620732464308,0.124146492862,152207855,SSNI US,Cash,Technology,16.25,0.186335403727,0.00931677018634,16.13,0.00743955362678,16.11,0.00869025450031,-0.00187721655955,-0.201487910725
2012:Q3,11/7/2012,17:00,0.4426,0.33,0.05,2012-11-07,0.28,5.6,14.39,0.208768267223,0.0,-0.2772002772,-0.2772002772,67939266,SRZ US,Cash,"Consumer, Non-cyclical",12.4,0.0,-0.1382904795,14.39,-0.1382904795,14.43,-0.140679140679,0.0,-0.0
2011:Q3,5/10/2011,17:01,0.4766,0.43,0.367,2011-05-10,0.063,0.171662125341,30.9,0.357491062723,-0.0647249190939,0.227051573143,0.162179695102,53289524,SRX US,Cash,Technology,31.25,-0.0647249190939,0.0113268608414,30.88,0.011981865285,30.83,0.0136230943886,0.00065500444355,0.0578275351591
2011:Q1,5/12/2011,16:05,-0.0226,-0.08,0.166,2011-05-12,-0.246,-1.48192771084,21.38,-2.26851851852,-0.701590271282,0.0936329588015,-0.60861423221,54055644,SPWR US,Cash,Industrial,23.25,-0.701590271282,0.0874649204864,21.23,0.0951483749411,21.36,0.0884831460674,0.00768345445469,0.0878461263322
2011:A,12/8/2011,13:21,0.1775,0.192,0.162,2011-12-08,0.03,0.185185185185,3.86,0.520833333333,0.0,0.0,0.0,58014149,SPSB MK,Cash,Financial,3.95,0.0,0.0233160621762,3.86,0.0233160621762,3.86,0.0233160621762,0.0,0.0
