Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
60186161,12/21/2011,DFG US,Delphi Financial Group Inc,8766 JP,2476.22,Cash,Completed,5/16/2012,43.875,Financial
69045210,9/21/2012,DEVG BB,Devgen,SYNN SW,476.29,Cash,Completed,2/27/2013,16,"Consumer, Non-cyclical"
76012707,4/12/2013,DE NA,DE Master Blenders 1753 NV,1074556D LX,10075.46,Cash,Completed,10/29/2013,12.5,"Consumer, Non-cyclical"
46763008,7/15/2010,DDT LN,Dimension Data Holdings PLC,9432 JP,2647.98,Cash,Completed,12/14/2010,1.2,Technology
142281426,7/17/2017,DDC CN,Dominion Diamond Corp,3043451Z US,1034.78,Cash,Completed,11/3/2017,14.25,Basic Materials
51116040,1/9/2011,DCO DC,Danisco A/S,DD US,7112.65,Cash,Completed,6/17/2011,700,"Consumer, Non-cyclical"
132854597,10/3/2016,DCI CN,DirectCash Payments Inc,CATM US,407.34,Cash,Completed,1/10/2017,19,"Consumer, Non-cyclical"
58318974,10/9/2011,DAY CN,Sinopec Daylight Energy Ltd,SINZ CH,2750.87,Cash,Completed,12/30/2011,10.08,Energy
85371147,12/23/2013,DASA3 BZ,Diagnosticos da America SA,0925804D BZ,1300.35,Cash,Completed,3/12/2014,15,"Consumer, Non-cyclical"
122185146,3/9/2016,DANG US,E-Commerce China Dangdang Inc,,468.13,Cash,Terminated,9/20/2016,8.8,Communications
54121431,5/2/2011,D9C GR,Terex Material Handling & Port Solutions AG,TEX US,1251.03,Cash,Completed,8/16/2011,45.5,Industrial
110243232,7/29/2015,CYT US,Cytec Industries Inc,SOLB BB,6091.17,Cash,Completed,12/9/2015,75.25,Basic Materials
139013883,2/14/2017,CYNO US,Cynosure Inc,HOLX US,1046.2,Cash,Completed,3/23/2017,66,"Consumer, Non-cyclical"
44716766,4/21/2010,CYBS US,Cybersource Corp,V US,1796.58,Cash,Completed,7/22/2010,26,Communications
70698135,11/12/2012,CXS US,Annaly Commercial Real Estate Group Inc,NLY US,789.74,Cash,Completed,5/24/2013,13.0521,Financial
43939983,3/21/2010,CXG US,CNX Gas Corp,CNX US,963.31,Cash,Completed,6/1/2010,38.25,Energy
63618440,4/23/2012,CW/ LN,Cable & Wireless Worldwide Ltd,VOD LN,1841.38,Cash,Completed,7/30/2012,0.38,Communications
124170496,4/18/2016,CVT US,Cvent Inc,389272Z US,1407.6,Cash,Completed,11/29/2016,36,Technology
61754438,2/16/2012,CVI US,CVR Energy Inc,IEP US,2176.63,Cash,Completed,5/18/2012,30,Energy
112638464,9/17/2015,CVC US,Cablevision Systems Corp,,17835.29,Cash,Completed,6/21/2016,34.9,Communications
131921015,9/14/2016,CUS CN,Chemtrade Electrochem Inc,CHE-U CN,678.47,Cash,Completed,3/10/2017,1.65,Basic Materials
156085739,11/27/2017,CUDA US,Barracuda Networks Inc,129626Z US,1261.32,Cash,Pending,2/28/2018,27.55,Technology
100319114,9/12/2014,CU FP,Club Med SAS,,1258.85,Cash,Completed,3/23/2015,24.6,"Consumer, Cyclical"
131208948,8/31/2016,CTH CN,Cynapsus Therapeutics Inc,4506 JP,460.48,Cash,Completed,10/24/2016,40.5,"Consumer, Non-cyclical"
114991855,11/2/2015,CTCT US,Constant Contact Inc,EIGI US,883.46,Cash,Completed,2/10/2016,32,Technology
78306699,6/12/2013,CTB US,Cooper Tire & Rubber Co,APTY IN,2341.12,Cash,Terminated,12/30/2013,35,"Consumer, Cyclical"
117034003,8/22/2016,CST US,CST Brands LLC,ATD/B CN,5264.91,Cash,Completed,6/28/2017,48.53,"Consumer, Cyclical"
94118437,7/24/2014,CSS CN,Contrans Group Inc,TFII CN,585.37,Cash,Completed,12/11/2014,14.6,Industrial
52871772,3/8/2011,CSR US,China Security & Surveillance Technology Inc,,709.73,Cash,Completed,9/16/2011,6.5,Industrial
97512294,10/15/2014,CSR LN,CSR Ltd/United Kingdom,QCOM US,2131.63,Cash,Completed,8/17/2015,9,Technology
116075730,1/20/2016,CSE CN,Capstone Infrastructure Corp,0762013D LN,1210.32,Cash,Completed,5/5/2016,4.9,Energy
48275069,9/17/2010,CRXL NA,Crucell NV,JNJ US,1736.69,Cash,Completed,4/12/2011,24.75,"Consumer, Non-cyclical"
144334870,6/28/2017,CRT SP,Croesus Retail Trust,BX US,1170.46,Cash,Completed,10/26/2017,1.17,Financial
