MMM US,
12/31/2013,2664.929
3/31/2014,2583.364
6/30/2014,2551.353
9/30/2014,3620.941
12/31/2014,3913.2
3/31/2015,4101.429
6/30/2015,5713.571
9/30/2015,4033.364
12/31/2015,4185.071
3/31/2016,3948.533
6/30/2016,3718
9/30/2016,3675.563
12/31/2016,3772.389
3/31/2017,3530.857
6/30/2017,3949.467
9/30/2017,4036.25
,
,
,
,
,
,
,
,
,
,
ADS US,
3/31/2010,564.941
6/30/2010,659.8
9/30/2010,690.389
12/31/2010,749.786
3/31/2011,723.111
6/30/2011,722.647
9/30/2011,796.333
12/31/2011,846.214
3/31/2012,832.778
6/30/2012,834.111
9/30/2012,893.158
12/31/2012,942.368
3/31/2013,1041.333
6/30/2013,1031.056
9/30/2013,1070.579
12/31/2013,1131.238
3/31/2014,1254.35
6/30/2014,1252.227
9/30/2014,1329.762
12/31/2014,1495.682
3/31/2015,1539.45
6/30/2015,1521.474
9/30/2015,1552.85
12/31/2015,1793.478
3/31/2016,1689.625
6/30/2016,1639.826
9/30/2016,1781.84
12/31/2016,1935.583
3/31/2017,1808.263
6/30/2017,1849.364
9/30/2017,1961.619
,
,
,
,
,
,
,
,
,
,
LNT US,
3/31/2010,1092
6/30/2010,768
9/30/2010,1031.333
12/31/2010,863.5
3/31/2011,858.333
6/30/2011,768.333
9/30/2011,1111.333
12/31/2011,784.333
3/31/2012,822
6/30/2012,699.667
9/30/2012,992.667
12/31/2012,803.667
3/31/2013,765.333
6/30/2013,683
9/30/2013,1030
12/31/2013,772.5
3/31/2014,850.5
6/30/2014,717.333
9/30/2014,980.333
12/31/2014,825
3/31/2015,908
6/30/2015,711
9/30/2015,1094
12/31/2015,854.5
3/31/2016,756
6/30/2016,734
9/30/2016,1401
12/31/2016,795.5
3/31/2017,854.5
6/30/2017,726
9/30/2017,1233
,
,
,
,
,
,
,
,
,
,
ALL US,
3/31/2010,7492.5
6/30/2010,7660
9/30/2010,8059.667
12/31/2010,8040.667
3/31/2011,8033.333
6/30/2011,7975.5
9/30/2011,7994.5
12/31/2011,8058.5
3/31/2012,8112
6/30/2012,8249.6
9/30/2012,8257.714
12/31/2012,8183.857
3/31/2013,8296.714
6/30/2013,8368.286
9/30/2013,8336.5
12/31/2013,8371.286
3/31/2014,8454.667
6/30/2014,8522.167
9/30/2014,8642.667
12/31/2014,8671.25
3/31/2015,8683.6
6/30/2015,8778.2
9/30/2015,8846.2
12/31/2015,8916.6
3/31/2016,8968
6/30/2016,9095.75
9/30/2016,9112.6
12/31/2016,9179
3/31/2017,9264
6/30/2017,9367.5
9/30/2017,9487.667
,
,
,
,
,
,
,
,
,
,
GOOGL US,
3/31/2010,4944.172
6/30/2010,4982.5
9/30/2010,5269.32
12/31/2010,6064.567
3/31/2011,6329.24
6/30/2011,6571
9/30/2011,7230.538
12/31/2011,8410.25
3/31/2012,8140.533
6/30/2012,8393.769
9/30/2012,11851.714
12/31/2012,12357.125
3/31/2013,11195.296
6/30/2013,11324.172
9/30/2013,11640.171
12/31/2013,13408.276
3/31/2014,12266.893
6/30/2014,12320
9/30/2014,13194.595
12/31/2014,14724.933
3/31/2015,14028.871
6/30/2015,14297.625
9/30/2015,15044.971
12/31/2015,16867.5
3/31/2016,16589.086
6/30/2016,16855.056
9/30/2016,17996.486
12/31/2016,20608.457
3/31/2017,19748.278
6/30/2017,20921.065
9/30/2017,21953.867
,
,
,
,
,
,
,
,
,
,
GOOG US,
3/31/2010,4944.172
6/30/2010,4982.5
9/30/2010,5269.32
12/31/2010,6064.567
3/31/2011,6329.24
6/30/2011,6571
9/30/2011,7230.538
12/31/2011,8410.25
3/31/2012,8140.533
6/30/2012,8393.769
9/30/2012,11851.714
12/31/2012,12357.125
3/31/2013,11195.296
6/30/2013,11324.172
9/30/2013,11640.171
12/31/2013,13408.276
3/31/2014,12266.893
6/30/2014,12320
9/30/2014,13194.595
12/31/2014,14724.933
3/31/2015,14028.871
6/30/2015,14297.625
9/30/2015,15044.971
12/31/2015,16867.5
3/31/2016,16589.086
6/30/2016,16855.056
9/30/2016,17996.486
12/31/2016,20608.457
3/31/2017,19748.278
6/30/2017,20921.065
9/30/2017,21953.867
,
,
,
,
,
,
,
,
,
,
MO US,
3/31/2010,3826.833
6/30/2010,4362.167
9/30/2010,4419
12/31/2010,4271.6
3/31/2011,3935.75
6/30/2011,4398.25
9/30/2011,4435.75
12/31/2011,4225.167
3/31/2012,4019.143
6/30/2012,4491.857
9/30/2012,4370.667
12/31/2012,4337.667
3/31/2013,4033
6/30/2013,4617.6
9/30/2013,4528.6
12/31/2013,4482.333
3/31/2014,4032.667
6/30/2014,4585
9/30/2014,4742.333
12/31/2014,4521.8
3/31/2015,4138.667
6/30/2015,4754.667
9/30/2015,4897
12/31/2015,4750.667
3/31/2016,4417.143
6/30/2016,5001
9/30/2016,5107.143
12/31/2016,4803.714
3/31/2017,4618.167
6/30/2017,5019
9/30/2017,5187.143
,
,
,
,
,
,
,
,
,
,
AMZN US,
3/31/2010,6849.731
6/30/2010,6542.4
9/30/2010,7358.231
12/31/2010,13030.464
3/31/2011,9546.214
6/30/2011,9377.323
9/30/2011,10939.286
12/31/2011,18255.303
3/31/2012,12901.676
6/30/2012,12898.343
