Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
49148893,10/25/2010,1074528D US,CommScope Inc,,3787.8,Cash,Completed,1/14/2011,31.5,Communications
131800056,9/9/2016,1074431D CH,Innolight Technology Corp,300308 CH,442.07,Stock,Completed,7/3/2017,N/A,Communications
63994926,5/2/2012,1073675D US,Charming Shoppes Inc,ASNA US,848.7,Cash,Completed,6/15/2012,7.35,"Consumer, Cyclical"
141628246,3/6/2017,107 HK,Sichuan Expressway Co Ltd,SCDHCZ CH,2212.71,Cash,Pending, ,4.54,"Consumer, Non-cyclical"
76402000,4/25/2013,1052394D US,MPG Office Trust Inc,BPO CN,1978.23,Cash,Completed,10/16/2013,3.15,Financial
149180712,9/22/2017,1030 HK,Future Land Development Holdings Ltd,1547348D KY,656.08,Cash,Terminated,10/17/2017,3.3,Financial
49864075,11/22/2010,1025240D CN,1985275 Ontario Inc,BNS CN,1822.58,Cash and Stock,Completed,3/10/2011,5,Financial
62344450,3/8/2012,1003374D CN,Molycorp Minerals Canada ULC,MCPIQ US,1223.5,Cash and Stock,Completed,6/14/2012,8.05,Industrial
46771892,7/15/2010,1002173D CN,Terrane Metals Corp,TCM CN,653.91,Cash and Stock,Completed,10/21/2010,0.9,Basic Materials
63860193,4/30/2012,0991739D US,Gen-Probe Inc,HOLX US,3757.47,Cash,Completed,8/2/2012,82.75,"Consumer, Non-cyclical"
58664215,10/24/2011,0967702D US,HealthSpring Inc,CI US,3803.02,Cash,Completed,1/31/2012,55,"Consumer, Non-cyclical"
73544130,1/31/2013,0966576D US,WMS Industries Inc,SGMS US,1449.26,Cash,Completed,10/18/2013,26,"Consumer, Cyclical"
73199288,1/18/2013,0965087D US,SeaCube Container Leasing Ltd,1885Z CN,466.63,Cash,Completed,4/25/2013,23,Financial
51119472,1/10/2011,0961514D US,Progress Energy Inc,DUK US,25531.04,Stock,Completed,7/3/2012,N/A,Utilities
73114820,1/16/2013,0955035D CN,Iberian Minerals Corp plc,0261116D NA,626.36,Cash,Completed,2/7/2013,1.1,Basic Materials
46394997,6/30/2010,0954772D US,Argon ST Inc,BA US,732.36,Cash,Completed,8/6/2010,34.5,Industrial
69182150,9/26/2012,0948669D US,American Greetings Corp,,806.98,Cash,Completed,8/9/2013,19,"Consumer, Non-cyclical"
47194886,8/2/2010,0948146D CN,Red Back Mining Inc,K CN,6671.94,Stock,Completed,9/22/2010,N/A,Basic Materials
58080373,9/30/2011,0947035D CN,Anvil Mining Ltd,1208 HK,1251.86,Cash,Completed,3/20/2012,8,Basic Materials
54468887,5/12/2011,0905737D HK,Little Sheep Group Ltd,YUM US,551.11,Cash,Completed,2/3/2012,6.5,"Consumer, Cyclical"
55440074,6/16/2011,0882565D US,Sizmek Technologies Inc,DGIT US,481.32,Cash,Completed,7/27/2011,22,Communications
76781338,5/6/2013,0878522D US,Crestwood Midstream Partners LP/Old,CMLP US,1802.78,Cash and Stock,Completed,10/8/2013,1.03,Energy
